,Tempo,Temperatura,Umidade,Vento,Joga
0,Ensolarado,23,70,Não,Sim
1,Chuvoso,18,82,Não,Sim
2,Chuvoso,26,60,Sim,Não
3,Nublado,18,96,Não,Sim
4,Ensolarado,22,80,Sim,Sim
5,Ensolarado,21,85,Sim,Sim
6,Ensolarado,30,95,Sim,Não
7,Chuvoso,29,82,Sim,Não
8,Nublado,30,60,Sim,Sim
9,Chuvoso,30,99,Sim,Não
10,Ensolarado,20,74,Sim,Sim
11,Chuvoso,30,80,Sim,Não
12,Chuvoso,23,68,Sim,Não
13,Ensolarado,19,68,Sim,Sim
14,Ensolarado,20,69,Não,Sim
15,Ensolarado,22,85,Não,Sim
16,Ensolarado,26,94,Não,Não
17,Nublado,19,84,Sim,Sim
18,Nublado,27,85,Não,Sim
19,Ensolarado,25,70,Não,Sim
20,Nublado,19,97,Não,Sim
21,Ensolarado,28,61,Sim,Sim
22,Ensolarado,30,66,Sim,Sim
23,Ensolarado,22,77,Sim,Sim
24,Nublado,24,86,Sim,Sim
25,Chuvoso,25,93,Não,Sim
26,Ensolarado,18,86,Não,Não
27,Nublado,23,76,Não,Sim
28,Nublado,18,83,Não,Sim
29,Ensolarado,19,84,Sim,Sim
30,Nublado,18,66,Sim,Sim
31,Ensolarado,28,65,Sim,Sim
32,Ensolarado,22,83,Não,Sim
33,Chuvoso,27,92,Sim,Não
34,Chuvoso,26,88,Sim,Não
35,Chuvoso,23,81,Não,Sim
36,Ensolarado,28,85,Não,Sim
37,Ensolarado,28,87,Sim,Não
38,Nublado,18,80,Sim,Sim
39,Nublado,30,66,Sim,Sim
40,Ensolarado,18,76,Sim,Sim
41,Nublado,19,79,Sim,Sim
42,Ensolarado,26,79,Sim,Sim
43,Chuvoso,20,81,Não,Sim
44,Ensolarado,18,87,Não,Não
45,Nublado,22,99,Não,Sim
46,Ensolarado,24,66,Sim,Sim
47,Nublado,23,60,Não,Sim
48,Nublado,29,91,Sim,Sim
49,Ensolarado,18,72,Sim,Sim
50,Chuvoso,22,89,Não,Sim
51,Chuvoso,22,82,Sim,Não
52,Chuvoso,23,78,Sim,Não
53,Chuvoso,20,91,Não,Sim
54,Nublado,22,89,Não,Sim
55,Chuvoso,24,88,Não,Sim
56,Ensolarado,22,88,Sim,Não
